# London Strategic Edge - Economic Calendar Data
# Source: londonstrategicedge.com/datasets

event_date,country,event,currency,previous,estimate,actual,change,change_percentage,impact,unit
2023-01-01 23:00:00+00:00,US,New Year's Day,USD,,,,,,Low,
2023-01-03 13:45:00+00:00,US,S&P Global Manufacturing PMI (Dec),USD,47.7000,46.2000,46.2000,-1.5000,-3.1450,Medium,
2023-01-03 14:00:00+00:00,US,Construction Spending MoM (Nov),USD,-0.2000,-0.4000,0.2000,0.4000,200.0000,Medium,%
2023-01-03 15:30:00+00:00,US,3-Month Bill Auction,USD,4.3500,,4.4100,0.0600,1.3790,Low,%
2023-01-03 15:30:00+00:00,US,6-Month Bill Auction,USD,4.6000,,4.6350,0.0350,0.7610,Low,%
2023-01-04 08:50:00+00:00,US,LMI Logistics Managers Index (Dec),USD,53.6000,,54.6000,1.0000,1.8660,Low,
2023-01-04 11:00:00+00:00,US,MBA 30-Year Mortgage Rate (Dec/23),USD,6.3400,,,,,Medium,%
2023-01-04 11:00:00+00:00,US,MBA 30-Year Mortgage Rate (Dec/30),USD,6.3400,,6.5800,0.2400,3.7850,Medium,%
2023-01-04 11:00:00+00:00,US,MBA Mortgage Applications (Dec/23),USD,0.9000,,,,,Medium,%
2023-01-04 11:00:00+00:00,US,MBA Mortgage Applications (Dec/30),USD,0.9000,,-10.3000,-11.2000,-1244.4440,Medium,%
2023-01-04 11:00:00+00:00,US,MBA Mortgage Market Index (Dec/23),USD,212.5000,,,,,Low,
2023-01-04 11:00:00+00:00,US,MBA Mortgage Market Index (Dec/30),USD,212.5000,,184.5000,-28.0000,-13.1760,Low,
2023-01-04 11:00:00+00:00,US,MBA Mortgage Refinance Index (Dec/23),USD,371.4000,,,,,Low,
2023-01-04 11:00:00+00:00,US,MBA Mortgage Refinance Index (Dec/30),USD,371.4000,,310.9000,-60.5000,-16.2900,Low,
2023-01-04 11:00:00+00:00,US,MBA Purchase Index (Dec/23),USD,182.5000,,,,,Low,
2023-01-04 11:00:00+00:00,US,MBA Purchase Index (Dec/30),USD,182.5000,,160.2000,-22.3000,-12.2190,Low,
2023-01-04 12:55:00+00:00,US,Redbook YoY (Dec/31),USD,9.6000,,10.2000,0.6000,6.2500,Low,%
2023-01-04 14:00:00+00:00,US,ISM Manufacturing Employment (Dec),USD,48.4000,48.3000,51.4000,3.0000,6.1980,Low,
2023-01-04 14:00:00+00:00,US,ISM Manufacturing New Orders (Dec),USD,47.2000,47.0000,45.2000,-2.0000,-4.2370,Low,
2023-01-04 14:00:00+00:00,US,ISM Manufacturing PMI (Dec),USD,49.0000,48.5000,48.4000,-0.6000,-1.2240,High,
